date,cms
1988-01-01,1.509
1988-01-02,0.579
1988-01-03,0.313
1988-01-04,0.071
1988-01-05,0.032
1988-01-06,0.025
1988-01-07,0.18
1988-01-08,1.509
1988-01-09,1.917
1988-01-10,2.121
1988-01-11,1.917
1988-01-12,1.713
1988-01-13,1.509
1988-01-14,-9999
1988-01-15,1.509
1988-01-16,1.376
1988-01-17,-9999
1988-01-18,-9999
1988-01-19,-9999
1988-01-20,-9999
1988-01-21,-9999
1988-01-22,1.376
1988-01-23,1.509
1988-01-24,-9999
1988-01-25,-9999
1988-01-26,-9999
1988-01-27,1.509
1988-01-28,1.376
1988-01-29,-9999
1988-01-30,1.376
1988-01-31,1.243
1988-02-01,1.243
1988-02-02,-9999
1988-02-03,-9999
1988-02-04,1.243
1988-02-05,1.11
1988-02-06,-9999
1988-02-07,-9999
1988-02-08,-9999
1988-02-09,-9999
1988-02-10,1.11
1988-02-11,0.977
1988-02-12,-9999
1988-02-13,-9999
1988-02-14,0.977
1988-02-15,0.845
1988-02-16,0.845
1988-02-17,0.712
1988-02-18,0.446
1988-02-19,0.18
1988-02-20,0.108
1988-02-21,0.071
1988-02-22,0.035
1988-02-23,-9999
1988-02-24,0.035
1988-02-25,0.032
1988-02-26,0.035
1988-02-27,0.144
1988-02-28,0.18
1988-02-29,0.18
1988-03-01,0.446
1988-03-02,0.579
1988-03-03,0.712
1988-03-04,0.712
1988-03-05,0.845
1988-03-06,0.712
1988-03-07,0.579
1988-03-08,0.446
1988-03-09,0.108
1988-03-10,0.071
1988-03-11,-9999
1988-03-12,-9999
1988-03-13,0.071
1988-03-14,0.108
1988-03-15,0.071
1988-03-16,0.071
1988-03-17,0.035
1988-03-18,0.032
1988-03-19,0.032
1988-03-20,0.035
1988-03-21,0.071
1988-03-22,0.108
1988-03-23,-9999
1988-03-24,0.108
1988-03-25,0.18
1988-03-26,0.313
1988-03-27,0.446
1988-03-28,0.313
1988-03-29,0.18
1988-03-30,-9999
1988-03-31,0.18
1988-04-01,0.144
1988-04-02,-9999
1988-04-03,0.144
1988-04-04,0.108
1988-04-05,1.11
1988-04-06,0.071
1988-04-07,0.035
1988-04-08,0.032
1988-04-09,0.029
1988-04-10,-9999
1988-04-11,0.029
1988-04-12,0.071
1988-04-13,0.27
1988-04-14,0.911
1988-04-15,1.284
1988-04-16,1.917
1988-04-17,5.528
1988-04-18,15.78
1988-04-19,3.246
1988-04-20,1.883
1988-04-21,1.522
1988-04-22,2.445
1988-04-23,2.07
1988-04-24,1.488
1988-04-25,1.177
1988-04-26,10.618
1988-04-27,48.823
1988-04-28,53.37
1988-04-29,32.063
1988-04-30,16.175
1988-05-01,6.457
1988-05-02,5.333
1988-05-03,8.045
1988-05-04,17.354
1988-05-05,12.06
1988-05-06,10.932
1988-05-07,7.989
1988-05-08,5.722
1988-05-09,3.195
1988-05-10,2.284
1988-05-11,1.605
1988-05-12,1.243
1988-05-13,0.977
1988-05-14,4.735
1988-05-15,4.5
1988-05-16,8.5
1988-05-17,10.35
1988-05-18,8.488
1988-05-19,4.083
1988-05-20,3.75
1988-05-21,3.218
1988-05-22,2.053
1988-05-23,3.693
1988-05-24,5.523
1988-05-25,7.457
1988-05-26,5.5
1988-05-27,4.542
1988-05-28,5.798
1988-05-29,7.709
1988-05-30,6.544
1988-05-31,5.337
1988-06-01,11.437
1988-06-02,-9999
1988-06-03,7.35
1988-06-04,8.263
1988-06-05,31.087
1988-06-06,24.729
1988-06-07,14.375
1988-06-08,13.35
1988-06-09,18.063
1988-06-10,28.081
1988-06-11,50.704
1988-06-12,50.704
1988-06-13,37.893
1988-06-14,26.417
1988-06-15,17.813
1988-06-16,12.248
1988-06-17,8.424
1988-06-18,6.765
1988-06-19,14.223
1988-06-20,32.43
1988-06-21,30.503
1988-06-22,33.873
1988-06-23,33.037
1988-06-24,54.763
1988-06-25,36.507
1988-06-26,31.004
1988-06-27,30.25
1988-06-28,35.207
1988-06-29,47.373
1988-06-30,45.057
1988-07-01,34.6
1988-07-02,30.417
1988-07-03,28.5
1988-07-04,24.75
1988-07-05,19.875
1988-07-06,21.925
1988-07-07,37.723
1988-07-08,72.587
1988-07-09,83.48
1988-07-10,91.303
1988-07-11,101.99
1988-07-12,97.64
1988-07-13,106.727
1988-07-14,108.66
1988-07-15,104.31
1988-07-16,102.57
1988-07-17,107.983
1988-07-18,101.932
1988-07-19,179.147
1988-07-20,158.903
1988-07-21,143.08
1988-07-22,141.22
1988-07-23,141.22
1988-07-24,147.133
1988-07-25,157.803
1988-07-26,144.423
1988-07-27,137.397
1988-07-28,142.336
1988-07-29,146.49
1988-07-30,143.855
1988-07-31,142.305
1988-08-01,142.873
1988-08-02,146.955
1988-08-03,148.66
1988-08-04,138.843
1988-08-05,119.573
1988-08-06,143.02
1988-08-07,167.933
1988-08-08,177.853
1988-08-09,179.88
1988-08-10,174.12
1988-08-11,175.74
1988-08-12,185.45
